section_id,book,map,section_number,print_sheet,short_title,description_catalogue,description_topos,section_type,note
2.05.03,2,2.05,03,EU02,Westlicher Ozean,Westlicher Ozean | Anas-Mündung (östliche) | Turdetaner,,coast section,
2.05.04,2,2.05,04,EU02,Lusitaner,Lusitaner,,coast section," A seventeenth-round, catalogue-wide sweep (2026-07-30), prompted by the user pointing out a structural blind spot in every check run so far this session: crossref_topostext.py/category_check.py only ever flag a `city` point when *that point's own* topostext phrase contains a coastal keyword - Sidon, Tyros and Byblos (fixed just above) have none; their own citations are bare names. The signal that they're coastal was never in their own phrase, it was in their *section*: sitting between already-correctly-classified points (a ""-Mündung"" river mouth, a ""Kap"" cape) that do carry a keyword. That's checkable without topostext at all - a section mixing coastal-family points (`coast`/`harbor`/`river_mouth`, keyword- detected from the German name) with plain `city` points, with no sea-word header of its own, is structurally suspicious on its own: Ptolemy's sections are narratively homogeneous (a coastal run OR an inland list, established as this project's whole classification premise), so a section doing both at once is far more likely to be one coastal run some of whose points merely lack their own keyword than a genuine mix.  Found 110 such sections catalogue-wide. Checked every one's full topostext text (not just the `city` points' own phrases) before adding it - looking for either confirming coastal language (promontory/harbor/river mouth/gulf/bay, a run of real coastal place-names) or a contradiction (an inland/interior framing, the same ""in the interior of Galatian Pontos"" shape that correctly ruled out a candidate earlier this session). 109 confirmed straightforwardly - a representative sample across the whole range: Lusitania's own coast continuing past the Durius fix above (Oliosipum/Lisbon, Obila - ""LUSITANIA...the mouth of the river, which flows into the Outer Sea""); the Basque/Catalan coast (`2.06.07`/`.10`/`.14`/`.15`/`.18`/`.19`/`.20` - ""Of the Autrigones: Nerva river mouth | Flaviobriga"", ""Of the Vascones: Oiasso city | Ocasso promontory of the Pyrenees""); Dalmatia (`2.16.02`/`.03`/`.05` - ""Ortopla...mouth of the Titos river...Skardona""); Macedonia and Thessaly (`3.13.05/06/12/14/15/16` - ""In Amphaxitis: Thessalonike | Echedoros river outlet"", ""In Pieria: ...Pydna | Haliakmon river outlet...Dion colonia...Peneios river outlet""); Boiotia and the Lokrians (`3.15.03/09/11` - ""In Boiotia: Aulis | Ismenos river outlet | Salganeus | Anthedon""); Messenia (`3.16.07` - ""Kyparissia city | Kyparission promontory...Pylos | Koryphasion headland | Mothone""); Crete's south coast (`3.17.03/04/07/08` - ""Description of the south side: Lissos | Tarrha...Phoinix city | Phoinikous harbor""); Mauretania/Numidia/Africa/Cyrenaica (`4.01`-`4.04`,`4.06`-`4.08`, a dozen sections - Icosium, Rusazus, Carthage's own harbor towns, ""In the Pentapolis, Berenike or Hesperides | mouth of the Lathon river""); Anatolia's Aeolis/Lykia/ Pontus coasts (`5.01`-`5.14`, another dozen - ""Patara | Antiphellos | Andriake...Olympos city | Phaselis""); the Levant's own continuation past the Phoenicia fix (`5.16.02` - Kaisareia, Apollonia, Ioppe/Jaffa, Azotos, Askalon, Anthedon, already-`harbor` Gaza/Iamnia ports between them); the Persian Gulf coast of Babylonia/Susiane/Persis (`5.20.05`,`6.02.02`-`6.04.02` - ""this coast is described as follows: the western mouth of the Tigris river...""); and India's own Malabar/Coromandel/Ganges-delta coasts (`7.01`/`7.02`/`7.03`/`7.04`, the largest single cluster - ""(Ariake) of the Pirates. Mandagara..."", ""Maisolia. Mouth of the River Maisolos..."", ""Mouths of the Ganges...""). One candidate, `3.05.14`, was excluded: its own `city` point (""Nördlicher Endpunkt"") is ""the southern limit of Sarmatia at the *sources* of the Tanais river"" - a river-source boundary marker at the opposite end from this section's real coastal points (the Tanais' two mouths), the same shape as the Durius/Anas fixes above, not a coastal gap - left as `city`, worth a closer individual look later if it turns out to need one."
2.05.05,2,2.05,05,EU02,Heiliges Kap,Heiliges Kap | Turdetaner | Lusitania,,inland,
2.05.06,2,2.05,06,EU02,Keltiker,Keltiker | Lusitania,,inland,
2.05.07,2,2.05,07,EU02,Lusitaner,Lusitaner,,inland,
2.05.08,2,2.05,08,EU02,Mendeculia (Mendeculeia),,,inland,
2.05.09,2,2.05,09,EU02,Vettonen,Vettonen,,inland,
2.05.10,2,2.05,10,EU02,Lusitania,Lusitania,,island,"The following five were confirmed against topostext.org/work/209's English translation, which states outright ""the Ebuda islands..."", ""the islands which are near Albion island..."", etc. - independent of our own Modern_location-based guessing. [Londobris - the Berlengas, off Lusitania (""An island lying off Lusitania, Londobris"")]"
2.06.01,2,2.06,01,EU02,Tarraconensis,Tarraconensis | Westlicher Ozean | Durius-Mündung | Brakarische Kalläker,,coast section,
2.06.02,2,2.06,02,EU02,Lukensische Kalläker,Lukensische Kalläker | Artabrer,,inland,
2.06.03,2,2.06,03,EU02,Kantabrischer Ozean,Kantabrischer Ozean | Kap Nerium,,coast section,
2.06.04,2,2.06,04,EU02,Lukensische Kalläker,Lukensische Kalläker | Grosser Hafen,,coast section," A seventeenth-round, catalogue-wide sweep (2026-07-30), prompted by the user pointing out a structural blind spot in every check run so far this session: crossref_topostext.py/category_check.py only ever flag a `city` point when *that point's own* topostext phrase contains a coastal keyword - Sidon, Tyros and Byblos (fixed just above) have none; their own citations are bare names. The signal that they're coastal was never in their own phrase, it was in their *section*: sitting between already-correctly-classified points (a ""-Mündung"" river mouth, a ""Kap"" cape) that do carry a keyword. That's checkable without topostext at all - a section mixing coastal-family points (`coast`/`harbor`/`river_mouth`, keyword- detected from the German name) with plain `city` points, with no sea-word header of its own, is structurally suspicious on its own: Ptolemy's sections are narratively homogeneous (a coastal run OR an inland list, established as this project's whole classification premise), so a section doing both at once is far more likely to be one coastal run some of whose points merely lack their own keyword than a genuine mix.  Found 110 such sections catalogue-wide. Checked every one's full topostext text (not just the `city` points' own phrases) before adding it - looking for either confirming coastal language (promontory/harbor/river mouth/gulf/bay, a run of real coastal place-names) or a contradiction (an inland/interior framing, the same ""in the interior of Galatian Pontos"" shape that correctly ruled out a candidate earlier this session). 109 confirmed straightforwardly - a representative sample across the whole range: Lusitania's own coast continuing past the Durius fix above (Oliosipum/Lisbon, Obila - ""LUSITANIA...the mouth of the river, which flows into the Outer Sea""); the Basque/Catalan coast (`2.06.07`/`.10`/`.14`/`.15`/`.18`/`.19`/`.20` - ""Of the Autrigones: Nerva river mouth | Flaviobriga"", ""Of the Vascones: Oiasso city | Ocasso promontory of the Pyrenees""); Dalmatia (`2.16.02`/`.03`/`.05` - ""Ortopla...mouth of the Titos river...Skardona""); Macedonia and Thessaly (`3.13.05/06/12/14/15/16` - ""In Amphaxitis: Thessalonike | Echedoros river outlet"", ""In Pieria: ...Pydna | Haliakmon river outlet...Dion colonia...Peneios river outlet""); Boiotia and the Lokrians (`3.15.03/09/11` - ""In Boiotia: Aulis | Ismenos river outlet | Salganeus | Anthedon""); Messenia (`3.16.07` - ""Kyparissia city | Kyparission promontory...Pylos | Koryphasion headland | Mothone""); Crete's south coast (`3.17.03/04/07/08` - ""Description of the south side: Lissos | Tarrha...Phoinix city | Phoinikous harbor""); Mauretania/Numidia/Africa/Cyrenaica (`4.01`-`4.04`,`4.06`-`4.08`, a dozen sections - Icosium, Rusazus, Carthage's own harbor towns, ""In the Pentapolis, Berenike or Hesperides | mouth of the Lathon river""); Anatolia's Aeolis/Lykia/ Pontus coasts (`5.01`-`5.14`, another dozen - ""Patara | Antiphellos | Andriake...Olympos city | Phaselis""); the Levant's own continuation past the Phoenicia fix (`5.16.02` - Kaisareia, Apollonia, Ioppe/Jaffa, Azotos, Askalon, Anthedon, already-`harbor` Gaza/Iamnia ports between them); the Persian Gulf coast of Babylonia/Susiane/Persis (`5.20.05`,`6.02.02`-`6.04.02` - ""this coast is described as follows: the western mouth of the Tigris river...""); and India's own Malabar/Coromandel/Ganges-delta coasts (`7.01`/`7.02`/`7.03`/`7.04`, the largest single cluster - ""(Ariake) of the Pirates. Mandagara..."", ""Maisolia. Mouth of the River Maisolos..."", ""Mouths of the Ganges...""). One candidate, `3.05.14`, was excluded: its own `city` point (""Nördlicher Endpunkt"") is ""the southern limit of Sarmatia at the *sources* of the Tanais river"" - a river-source boundary marker at the opposite end from this section's real coastal points (the Tanais' two mouths), the same shape as the Durius/Anas fixes above, not a coastal gap - left as `city`, worth a closer individual look later if it turns out to need one."
2.06.05,2,2.06,05,EU02,Päsiker,Päsiker,,inland,
2.06.06,2,2.06,06,EU02,Kantabrer,Kantabrer,,inland,
2.06.07,2,2.06,07,EU02,Autrigonen,Autrigonen,,coast section," A seventeenth-round, catalogue-wide sweep (2026-07-30), prompted by the user pointing out a structural blind spot in every check run so far this session: crossref_topostext.py/category_check.py only ever flag a `city` point when *that point's own* topostext phrase contains a coastal keyword - Sidon, Tyros and Byblos (fixed just above) have none; their own citations are bare names. The signal that they're coastal was never in their own phrase, it was in their *section*: sitting between already-correctly-classified points (a ""-Mündung"" river mouth, a ""Kap"" cape) that do carry a keyword. That's checkable without topostext at all - a section mixing coastal-family points (`coast`/`harbor`/`river_mouth`, keyword- detected from the German name) with plain `city` points, with no sea-word header of its own, is structurally suspicious on its own: Ptolemy's sections are narratively homogeneous (a coastal run OR an inland list, established as this project's whole classification premise), so a section doing both at once is far more likely to be one coastal run some of whose points merely lack their own keyword than a genuine mix.  Found 110 such sections catalogue-wide. Checked every one's full topostext text (not just the `city` points' own phrases) before adding it - looking for either confirming coastal language (promontory/harbor/river mouth/gulf/bay, a run of real coastal place-names) or a contradiction (an inland/interior framing, the same ""in the interior of Galatian Pontos"" shape that correctly ruled out a candidate earlier this session). 109 confirmed straightforwardly - a representative sample across the whole range: Lusitania's own coast continuing past the Durius fix above (Oliosipum/Lisbon, Obila - ""LUSITANIA...the mouth of the river, which flows into the Outer Sea""); the Basque/Catalan coast (`2.06.07`/`.10`/`.14`/`.15`/`.18`/`.19`/`.20` - ""Of the Autrigones: Nerva river mouth | Flaviobriga"", ""Of the Vascones: Oiasso city | Ocasso promontory of the Pyrenees""); Dalmatia (`2.16.02`/`.03`/`.05` - ""Ortopla...mouth of the Titos river...Skardona""); Macedonia and Thessaly (`3.13.05/06/12/14/15/16` - ""In Amphaxitis: Thessalonike | Echedoros river outlet"", ""In Pieria: ...Pydna | Haliakmon river outlet...Dion colonia...Peneios river outlet""); Boiotia and the Lokrians (`3.15.03/09/11` - ""In Boiotia: Aulis | Ismenos river outlet | Salganeus | Anthedon""); Messenia (`3.16.07` - ""Kyparissia city | Kyparission promontory...Pylos | Koryphasion headland | Mothone""); Crete's south coast (`3.17.03/04/07/08` - ""Description of the south side: Lissos | Tarrha...Phoinix city | Phoinikous harbor""); Mauretania/Numidia/Africa/Cyrenaica (`4.01`-`4.04`,`4.06`-`4.08`, a dozen sections - Icosium, Rusazus, Carthage's own harbor towns, ""In the Pentapolis, Berenike or Hesperides | mouth of the Lathon river""); Anatolia's Aeolis/Lykia/ Pontus coasts (`5.01`-`5.14`, another dozen - ""Patara | Antiphellos | Andriake...Olympos city | Phaselis""); the Levant's own continuation past the Phoenicia fix (`5.16.02` - Kaisareia, Apollonia, Ioppe/Jaffa, Azotos, Askalon, Anthedon, already-`harbor` Gaza/Iamnia ports between them); the Persian Gulf coast of Babylonia/Susiane/Persis (`5.20.05`,`6.02.02`-`6.04.02` - ""this coast is described as follows: the western mouth of the Tigris river...""); and India's own Malabar/Coromandel/Ganges-delta coasts (`7.01`/`7.02`/`7.03`/`7.04`, the largest single cluster - ""(Ariake) of the Pirates. Mandagara..."", ""Maisolia. Mouth of the River Maisolos..."", ""Mouths of the Ganges...""). One candidate, `3.05.14`, was excluded: its own `city` point (""Nördlicher Endpunkt"") is ""the southern limit of Sarmatia at the *sources* of the Tanais river"" - a river-source boundary marker at the opposite end from this section's real coastal points (the Tanais' two mouths), the same shape as the Durius/Anas fixes above, not a coastal gap - left as `city`, worth a closer individual look later if it turns out to need one."
2.06.08,2,2.06,08,EU02,Karieten,Karieten,,inland,
2.06.09,2,2.06,09,EU02,Varduler,Varduler,,inland,
2.06.10,2,2.06,10,EU02,Vaskonen,Vaskonen,Of the Vascones: Oiasso city,coast section," A seventeenth-round, catalogue-wide sweep (2026-07-30), prompted by the user pointing out a structural blind spot in every check run so far this session: crossref_topostext.py/category_check.py only ever flag a `city` point when *that point's own* topostext phrase contains a coastal keyword - Sidon, Tyros and Byblos (fixed just above) have none; their own citations are bare names. The signal that they're coastal was never in their own phrase, it was in their *section*: sitting between already-correctly-classified points (a ""-Mündung"" river mouth, a ""Kap"" cape) that do carry a keyword. That's checkable without topostext at all - a section mixing coastal-family points (`coast`/`harbor`/`river_mouth`, keyword- detected from the German name) with plain `city` points, with no sea-word header of its own, is structurally suspicious on its own: Ptolemy's sections are narratively homogeneous (a coastal run OR an inland list, established as this project's whole classification premise), so a section doing both at once is far more likely to be one coastal run some of whose points merely lack their own keyword than a genuine mix.  Found 110 such sections catalogue-wide. Checked every one's full topostext text (not just the `city` points' own phrases) before adding it - looking for either confirming coastal language (promontory/harbor/river mouth/gulf/bay, a run of real coastal place-names) or a contradiction (an inland/interior framing, the same ""in the interior of Galatian Pontos"" shape that correctly ruled out a candidate earlier this session). 109 confirmed straightforwardly - a representative sample across the whole range: Lusitania's own coast continuing past the Durius fix above (Oliosipum/Lisbon, Obila - ""LUSITANIA...the mouth of the river, which flows into the Outer Sea""); the Basque/Catalan coast (`2.06.07`/`.10`/`.14`/`.15`/`.18`/`.19`/`.20` - ""Of the Autrigones: Nerva river mouth | Flaviobriga"", ""Of the Vascones: Oiasso city | Ocasso promontory of the Pyrenees""); Dalmatia (`2.16.02`/`.03`/`.05` - ""Ortopla...mouth of the Titos river...Skardona""); Macedonia and Thessaly (`3.13.05/06/12/14/15/16` - ""In Amphaxitis: Thessalonike | Echedoros river outlet"", ""In Pieria: ...Pydna | Haliakmon river outlet...Dion colonia...Peneios river outlet""); Boiotia and the Lokrians (`3.15.03/09/11` - ""In Boiotia: Aulis | Ismenos river outlet | Salganeus | Anthedon""); Messenia (`3.16.07` - ""Kyparissia city | Kyparission promontory...Pylos | Koryphasion headland | Mothone""); Crete's south coast (`3.17.03/04/07/08` - ""Description of the south side: Lissos | Tarrha...Phoinix city | Phoinikous harbor""); Mauretania/Numidia/Africa/Cyrenaica (`4.01`-`4.04`,`4.06`-`4.08`, a dozen sections - Icosium, Rusazus, Carthage's own harbor towns, ""In the Pentapolis, Berenike or Hesperides | mouth of the Lathon river""); Anatolia's Aeolis/Lykia/ Pontus coasts (`5.01`-`5.14`, another dozen - ""Patara | Antiphellos | Andriake...Olympos city | Phaselis""); the Levant's own continuation past the Phoenicia fix (`5.16.02` - Kaisareia, Apollonia, Ioppe/Jaffa, Azotos, Askalon, Anthedon, already-`harbor` Gaza/Iamnia ports between them); the Persian Gulf coast of Babylonia/Susiane/Persis (`5.20.05`,`6.02.02`-`6.04.02` - ""this coast is described as follows: the western mouth of the Tigris river...""); and India's own Malabar/Coromandel/Ganges-delta coasts (`7.01`/`7.02`/`7.03`/`7.04`, the largest single cluster - ""(Ariake) of the Pirates. Mandagara..."", ""Maisolia. Mouth of the River Maisolos..."", ""Mouths of the Ganges...""). One candidate, `3.05.14`, was excluded: its own `city` point (""Nördlicher Endpunkt"") is ""the southern limit of Sarmatia at the *sources* of the Tanais river"" - a river-source boundary marker at the opposite end from this section's real coastal points (the Tanais' two mouths), the same shape as the Durius/Anas fixes above, not a coastal gap - left as `city`, worth a closer individual look later if it turns out to need one."
2.06.11,2,2.06,11,EU02,Pyrene-Gebirge,Pyrene-Gebirge | Kap Oiarso | Unser Meer | Hispania | Tarraconensis,"The eastern side, towards the summer sunrise, is bounded by the Pyreneesfrom the above-mentioned promontory to where the mountain chain meets Our Sea, on the headland where the sanctuary of Aphrodite is established,",coast section,
2.06.12,2,2.06,12,EU02,Tarraconensis,Tarraconensis | Lusitania | Baetica | Baliarisches Meer,"The remainder of Tarraconensis, one side lies alongside Lusitania and Baetica and that which lies alongside the Balearic Sea, turns towards the winter sunrise, with the following description: Afte the limit toward Baetica, at",coast section,
2.06.13,2,2.06,13,EU02,Bastitaner,Bastitaner,,inland,
2.06.14,2,2.06,14,EU02,Kontestaner,Kontestaner,The sea coast of the Bastitani at Urci,coast section," A seventeenth-round, catalogue-wide sweep (2026-07-30), prompted by the user pointing out a structural blind spot in every check run so far this session: crossref_topostext.py/category_check.py only ever flag a `city` point when *that point's own* topostext phrase contains a coastal keyword - Sidon, Tyros and Byblos (fixed just above) have none; their own citations are bare names. The signal that they're coastal was never in their own phrase, it was in their *section*: sitting between already-correctly-classified points (a ""-Mündung"" river mouth, a ""Kap"" cape) that do carry a keyword. That's checkable without topostext at all - a section mixing coastal-family points (`coast`/`harbor`/`river_mouth`, keyword- detected from the German name) with plain `city` points, with no sea-word header of its own, is structurally suspicious on its own: Ptolemy's sections are narratively homogeneous (a coastal run OR an inland list, established as this project's whole classification premise), so a section doing both at once is far more likely to be one coastal run some of whose points merely lack their own keyword than a genuine mix.  Found 110 such sections catalogue-wide. Checked every one's full topostext text (not just the `city` points' own phrases) before adding it - looking for either confirming coastal language (promontory/harbor/river mouth/gulf/bay, a run of real coastal place-names) or a contradiction (an inland/interior framing, the same ""in the interior of Galatian Pontos"" shape that correctly ruled out a candidate earlier this session). 109 confirmed straightforwardly - a representative sample across the whole range: Lusitania's own coast continuing past the Durius fix above (Oliosipum/Lisbon, Obila - ""LUSITANIA...the mouth of the river, which flows into the Outer Sea""); the Basque/Catalan coast (`2.06.07`/`.10`/`.14`/`.15`/`.18`/`.19`/`.20` - ""Of the Autrigones: Nerva river mouth | Flaviobriga"", ""Of the Vascones: Oiasso city | Ocasso promontory of the Pyrenees""); Dalmatia (`2.16.02`/`.03`/`.05` - ""Ortopla...mouth of the Titos river...Skardona""); Macedonia and Thessaly (`3.13.05/06/12/14/15/16` - ""In Amphaxitis: Thessalonike | Echedoros river outlet"", ""In Pieria: ...Pydna | Haliakmon river outlet...Dion colonia...Peneios river outlet""); Boiotia and the Lokrians (`3.15.03/09/11` - ""In Boiotia: Aulis | Ismenos river outlet | Salganeus | Anthedon""); Messenia (`3.16.07` - ""Kyparissia city | Kyparission promontory...Pylos | Koryphasion headland | Mothone""); Crete's south coast (`3.17.03/04/07/08` - ""Description of the south side: Lissos | Tarrha...Phoinix city | Phoinikous harbor""); Mauretania/Numidia/Africa/Cyrenaica (`4.01`-`4.04`,`4.06`-`4.08`, a dozen sections - Icosium, Rusazus, Carthage's own harbor towns, ""In the Pentapolis, Berenike or Hesperides | mouth of the Lathon river""); Anatolia's Aeolis/Lykia/ Pontus coasts (`5.01`-`5.14`, another dozen - ""Patara | Antiphellos | Andriake...Olympos city | Phaselis""); the Levant's own continuation past the Phoenicia fix (`5.16.02` - Kaisareia, Apollonia, Ioppe/Jaffa, Azotos, Askalon, Anthedon, already-`harbor` Gaza/Iamnia ports between them); the Persian Gulf coast of Babylonia/Susiane/Persis (`5.20.05`,`6.02.02`-`6.04.02` - ""this coast is described as follows: the western mouth of the Tigris river...""); and India's own Malabar/Coromandel/Ganges-delta coasts (`7.01`/`7.02`/`7.03`/`7.04`, the largest single cluster - ""(Ariake) of the Pirates. Mandagara..."", ""Maisolia. Mouth of the River Maisolos..."", ""Mouths of the Ganges...""). One candidate, `3.05.14`, was excluded: its own `city` point (""Nördlicher Endpunkt"") is ""the southern limit of Sarmatia at the *sources* of the Tanais river"" - a river-source boundary marker at the opposite end from this section's real coastal points (the Tanais' two mouths), the same shape as the Durius/Anas fixes above, not a coastal gap - left as `city`, worth a closer individual look later if it turns out to need one."
