id,point_id,override_type,value,note
57,2.15.01.06,river_line_skip,,"The river-line counterpart of _COASTLINE_SKIP_REF_IDS: a point excluded from a river's node set entirely, rather than left to the ordinary distance-based dedup below to sort out. Needed when the dedup's ""keep whichever duplicate sorts first by ref_id"" rule picks the *wrong* one of two identical-coordinate re-citations - an earlier-numbered boundary-line citation of a bend/confluence (stated as an orientation point for an unrelated province's border) instead of the same bend's later, correctly- sequenced appearance within the river's own continuous course narrative. Found by the systematic self-intersection review (2026-07-30), re- examining the three Danuvius crossings this session had previously accepted as ""genuine Ptolemaic distortion"" without checking this possibility first - the same premature call already corrected once this session for the Danube delta. [Danuvius (Einmündung des Savus) - topostext (2.15.1.1): ""...on the south by Illyria which extends from the indicated terminus as far as the bend in the Danube near which the Savos river empties into it"" - Pannonia Inferior's own boundary description, citing the Savus confluence purely as its terminus. The dedup (exact coordinate match, distance 0.0) kept this one because ""2.15.01"" sorts before ""2.15.02"", pulling it in front of Cirpi's *later* bend (2.15.02.04/2.11.05.16) and out of the real downstream order (Cirpi -> Dravus confluence -> Cornacum -> Acumincum -> Rittium -> Savus confluence) that Moesia Superior's own section 2.15.02 narrates as one continuous run - the same physical point is re-cited there too, correctly placed at the end, as ""Danuvius (Biegung bei der Einmündung des Savus)"" (2.15.02.18, also distance 0.0 from this one). Skipping this citation here lets that correctly-sequenced duplicate survive the dedup instead.]"
35,2.16.01.04,force_noncoastal_point,,"The rest of the ""every remaining Grenzpunkt/Endpunkt still marked `coast`"" sweep prompted by the Durius find above: of 27 such points, 23 are genuinely coastal (topostext explicitly names a sea/gulf as the boundary's own endpoint - ""the other on the Adriatic at"", ""termination at the sea"", ""the inner recess of the...Maisanites Gulf"" - or, for the Arabia Felix ""Endpunkt am Meer"" mountain cases, sit smoothly in-line with their coastal neighbours' own coordinates, the same Athos/Akrokeraunia shape already confirmed this session) and left untouched. These three are pure land-boundary descriptions with no sea/gulf mentioned anywhere in their citation, or explicitly contrasted with a *different*, genuinely coastal sibling point: [Grenzpunkt (Illyricum, Pannonia Superior) - topostext: ""Illyria is bounded on the north by the two Pannonias...whose midpoint toward the limit point of Upper Pannonia at"" - the *inland* end of a line whose text explicitly names a second, different end ""on the Adriatic"" (2.16.01.05, correctly left coastal) - this one is the land end, not the sea end]"
9,3.05.31.02,force_island_point,,"The same problem at single-point granularity: a lone island reference embedded in an otherwise-mainland section, where force-islanding the *whole* section (as above) would wrongly reclassify real mainland points alongside it. Book.map ""3.14"" section ""06"" is Akarnania's mainland coast (Ambrakia/Arta, Aktion/Actium, Alyzeia, the Acheloos' mouth) except for one entry - ""Kap Leukas"" (Cape Doukato, the southern tip of the island of Lefkada) - sitting in the middle of that mainland run and pulling the Epirus/Akarnania coastline out onto the island and back. Keyed by ref_id. [Alopekia bzw. Tanais - the island off the Tanais' mouth (topostext: ""An island lies off the mouth of the Tanais river, Alopekia or Tanais island"")]"
62,3.10.04.03,coastline_explicit_order,"[3, 10, 2, 5, 5]","build_coastlines assumes catalogue order (ref_id order) is walking order - true for an ordinary coastal survey, but not for a river delta, which Ptolemy describes as a *branching tree*, not a line: ""the first division of the mouths at Noviodunum...the southernmost part...flows out by the Sacred mouth...the northernmost divides again...divides again...flows out by Thiagola or Psilon...The more southerly of the second division also splits...flows out by Boreios...also divides...flows out by Narakion...also divides...flows out by Pseudostomon...the more southerly flows out by Kalon"" (topostext, book 3 map 10 - the Danube delta). Reading that nested south/north branching in order (the catalogue's own division points confirm every split: ""Ister (1. Teilung bei Noviodunum)"", ""...Teilung des nördlichsten Armes"", two more bare ""Ister (Teilung)"" citations - see _RIVER_COURSE_RE's ""teilung"" addition) gives a real geographic south-to-north walk along the coast, confirmed by every one of the six mouths' own latitude increasing monotonically in this order - catalogue/ref_id order does not (it interleaves them with the division points in a different sequence entirely). Found by the user comparing the rendered result against old maps that draw this delta as a single point fanning into several branches, and asking for the branches to be worked through step by step rather than left to ref_id order. `sort_key` below checks this override before falling back to natural (book, tabula, section, item) order; unlisted ref_ids are unaffected, and the six overrides are placed as extra tuple elements immediately after the first mouth's own natural key so they sort between it and the next unrelated point without disturbing anything else in book.map ""3.10"". [Psilon bzw. Thiagola (Mündung)]"
61,3.10.05.03,coastline_explicit_order,"[3, 10, 2, 5, 4]","build_coastlines assumes catalogue order (ref_id order) is walking order - true for an ordinary coastal survey, but not for a river delta, which Ptolemy describes as a *branching tree*, not a line: ""the first division of the mouths at Noviodunum...the southernmost part...flows out by the Sacred mouth...the northernmost divides again...divides again...flows out by Thiagola or Psilon...The more southerly of the second division also splits...flows out by Boreios...also divides...flows out by Narakion...also divides...flows out by Pseudostomon...the more southerly flows out by Kalon"" (topostext, book 3 map 10 - the Danube delta). Reading that nested south/north branching in order (the catalogue's own division points confirm every split: ""Ister (1. Teilung bei Noviodunum)"", ""...Teilung des nördlichsten Armes"", two more bare ""Ister (Teilung)"" citations - see _RIVER_COURSE_RE's ""teilung"" addition) gives a real geographic south-to-north walk along the coast, confirmed by every one of the six mouths' own latitude increasing monotonically in this order - catalogue/ref_id order does not (it interleaves them with the division points in a different sequence entirely). Found by the user comparing the rendered result against old maps that draw this delta as a single point fanning into several branches, and asking for the branches to be worked through step by step rather than left to ref_id order. `sort_key` below checks this override before falling back to natural (book, tabula, section, item) order; unlisted ref_ids are unaffected, and the six overrides are placed as extra tuple elements immediately after the first mouth's own natural key so they sort between it and the next unrelated point without disturbing anything else in book.map ""3.10"". [Nördliche Mündung (Boreios)]"
58,3.10.05.05,coastline_explicit_order,"[3, 10, 2, 5, 1]","build_coastlines assumes catalogue order (ref_id order) is walking order - true for an ordinary coastal survey, but not for a river delta, which Ptolemy describes as a *branching tree*, not a line: ""the first division of the mouths at Noviodunum...the southernmost part...flows out by the Sacred mouth...the northernmost divides again...divides again...flows out by Thiagola or Psilon...The more southerly of the second division also splits...flows out by Boreios...also divides...flows out by Narakion...also divides...flows out by Pseudostomon...the more southerly flows out by Kalon"" (topostext, book 3 map 10 - the Danube delta). Reading that nested south/north branching in order (the catalogue's own division points confirm every split: ""Ister (1. Teilung bei Noviodunum)"", ""...Teilung des nördlichsten Armes"", two more bare ""Ister (Teilung)"" citations - see _RIVER_COURSE_RE's ""teilung"" addition) gives a real geographic south-to-north walk along the coast, confirmed by every one of the six mouths' own latitude increasing monotonically in this order - catalogue/ref_id order does not (it interleaves them with the division points in a different sequence entirely). Found by the user comparing the rendered result against old maps that draw this delta as a single point fanning into several branches, and asking for the branches to be worked through step by step rather than left to ref_id order. `sort_key` below checks this override before falling back to natural (book, tabula, section, item) order; unlisted ref_ids are unaffected, and the six overrides are placed as extra tuple elements immediately after the first mouth's own natural key so they sort between it and the next unrelated point without disturbing anything else in book.map ""3.10"". [Narakion-Mündung]"
60,3.10.06.02,coastline_explicit_order,"[3, 10, 2, 5, 3]","build_coastlines assumes catalogue order (ref_id order) is walking order - true for an ordinary coastal survey, but not for a river delta, which Ptolemy describes as a *branching tree*, not a line: ""the first division of the mouths at Noviodunum...the southernmost part...flows out by the Sacred mouth...the northernmost divides again...divides again...flows out by Thiagola or Psilon...The more southerly of the second division also splits...flows out by Boreios...also divides...flows out by Narakion...also divides...flows out by Pseudostomon...the more southerly flows out by Kalon"" (topostext, book 3 map 10 - the Danube delta). Reading that nested south/north branching in order (the catalogue's own division points confirm every split: ""Ister (1. Teilung bei Noviodunum)"", ""...Teilung des nördlichsten Armes"", two more bare ""Ister (Teilung)"" citations - see _RIVER_COURSE_RE's ""teilung"" addition) gives a real geographic south-to-north walk along the coast, confirmed by every one of the six mouths' own latitude increasing monotonically in this order - catalogue/ref_id order does not (it interleaves them with the division points in a different sequence entirely). Found by the user comparing the rendered result against old maps that draw this delta as a single point fanning into several branches, and asking for the branches to be worked through step by step rather than left to ref_id order. `sort_key` below checks this override before falling back to natural (book, tabula, section, item) order; unlisted ref_ids are unaffected, and the six overrides are placed as extra tuple elements immediately after the first mouth's own natural key so they sort between it and the next unrelated point without disturbing anything else in book.map ""3.10"". [Pseudostomon (Mündung)]"
59,3.10.06.03,coastline_explicit_order,"[3, 10, 2, 5, 2]","build_coastlines assumes catalogue order (ref_id order) is walking order - true for an ordinary coastal survey, but not for a river delta, which Ptolemy describes as a *branching tree*, not a line: ""the first division of the mouths at Noviodunum...the southernmost part...flows out by the Sacred mouth...the northernmost divides again...divides again...flows out by Thiagola or Psilon...The more southerly of the second division also splits...flows out by Boreios...also divides...flows out by Narakion...also divides...flows out by Pseudostomon...the more southerly flows out by Kalon"" (topostext, book 3 map 10 - the Danube delta). Reading that nested south/north branching in order (the catalogue's own division points confirm every split: ""Ister (1. Teilung bei Noviodunum)"", ""...Teilung des nördlichsten Armes"", two more bare ""Ister (Teilung)"" citations - see _RIVER_COURSE_RE's ""teilung"" addition) gives a real geographic south-to-north walk along the coast, confirmed by every one of the six mouths' own latitude increasing monotonically in this order - catalogue/ref_id order does not (it interleaves them with the division points in a different sequence entirely). Found by the user comparing the rendered result against old maps that draw this delta as a single point fanning into several branches, and asking for the branches to be worked through step by step rather than left to ref_id order. `sort_key` below checks this override before falling back to natural (book, tabula, section, item) order; unlisted ref_ids are unaffected, and the six overrides are placed as extra tuple elements immediately after the first mouth's own natural key so they sort between it and the next unrelated point without disturbing anything else in book.map ""3.10"". [Schöne Mündung (Kalon)]"
45,3.10.14.01,coastline_skip,,"Ptolemy sometimes opens a region's description with a boundary point (""this region extends south to the mouth of the Acheloos"") *before* the region's own coastal enumeration begins - then cites that same point again, correctly, at the point in the walk where it's actually reached. Book.map ""3.14"" (Epirus/Akarnania) section ""01"" is a single-row section - ""Acheloos-Mündung"" - sitting alone right before the walk proper starts at ""Akrokeraunische Berge"" in section ""02""; the same ""Acheloos-Mündung"" (same name, same coordinates) shows up again, correctly, as the walk's actual last point in section ""06"". Both citations are real edges under the ordinary catalogue-adjacency rule (the intro one sits within the 5-degree gap cap of Akrokeraunia), so node-collapsing merges the two ""Acheloos"" rows into one graph node with edges to *both* ends of the walk - turning an 11-point open coastal walk into a closed loop and drawing its very first line as a jump from the Akarnanian coast straight to the Albanian border. A general rule (""a single-row section right before the walk starts is always introductory"") risks discarding real single-point coastal sections elsewhere, so this is a small, manually-verified exclusion instead: these ref_ids keep their normal category (they still plot as an ordinary river-mouth marker) but are skipped when building coastline edges, the same way a non-coastal row already is. [Borysthenes-Mündung - the same pattern the other way round: Lower Moesia's own coastal]"
53,3.12.04.05,coastline_skip,,"walk resumes at book.map ""3.10"" section ""14"" (Dniester-area river mouths, a genuinely new stretch) by re-stating the Dnieper's mouth as an orientation point first - the exact same coordinate already given, correctly, as Sarmatia-in-Europe's own citation (3.05.07.01). Left in as an edge, this duplicate coordinate became a node with edges to *both* its own real neighbour (3.10.14.02) and, via catalogue-order adjacency within its own book.map, the far end of a >4.5-degree jump back across section ""08""'s last coastal point (an intervening digression into inland Danube-bank legionary camps, sections ""09""-""13"", correctly left `city`) - a zigzag with no geographic basis, reported by the user as ""two strange lines...as if it's trying to connect the wrong features"". Skipping this one re-citation lets 3.10's own walk connect directly to its real next point instead.  The four entries below were found a different way: a real coastline never crosses itself (the same ""a road doesn't cross itself"" argument the user made, prompting this check) - so any drawn coastline whose own line self-intersects has a real ordering bug somewhere, findable without eyeballing a render or hand-picking a distance threshold. Checked every coastline/river/island/mountain line in the catalogue with shapely's line-segment intersection test; all four hits below turned out to be the *introductory boundary point* pattern above, just not yet found because a false self-crossing edge is a different symptom than a straight-line ""jump"" is. [Kallipolis - the Thracian Chersonese's own loop closing back to its start (topostext, book 3 map 11 section 9: ""...Sestos, next the above-mentioned Kallipolis""), a bit-identical coordinate duplicate of 3.12.01.05. Left in as a fresh point, it would just re-close the loop a second time at the same node - the ordinary close-loop mechanism (feature_closes_loop) already does this correctly once 3.12's own points are traced.]"
36,3.13.06.02,force_noncoastal_point,,"Surfaced by the seventeenth-round batch coastal fix: `(""3.13"",""06"")` was included in that batch because it mixes `coast` (Malischer Golf, self-classifying via the word ""Golf"") with `city` (Grenzpunkt) - but that mix was never a real ""sea named once, not repeated"" gap the way the other 108 sections were; Malischer Golf already correctly self-classified on its own, and this Grenzpunkt is the *land* boundary it's paired with in the same short passage (topostext: ""south to the line on this side along Epiros until the end, at position"" - Achaia/Epiros/Makedonia's own tripoint via Mt. Pindos, not a coastal point). Left as `coast` by the batch fix, its edge to Neapolis (the real walk's own start, far south) cut across five of that walk's own later segments."
50,3.13.06.05,coastline_skip,,"walk resumes at book.map ""3.10"" section ""14"" (Dniester-area river mouths, a genuinely new stretch) by re-stating the Dnieper's mouth as an orientation point first - the exact same coordinate already given, correctly, as Sarmatia-in-Europe's own citation (3.05.07.01). Left in as an edge, this duplicate coordinate became a node with edges to *both* its own real neighbour (3.10.14.02) and, via catalogue-order adjacency within its own book.map, the far end of a >4.5-degree jump back across section ""08""'s last coastal point (an intervening digression into inland Danube-bank legionary camps, sections ""09""-""13"", correctly left `city`) - a zigzag with no geographic basis, reported by the user as ""two strange lines...as if it's trying to connect the wrong features"". Skipping this one re-citation lets 3.10's own walk connect directly to its real next point instead.  The four entries below were found a different way: a real coastline never crosses itself (the same ""a road doesn't cross itself"" argument the user made, prompting this check) - so any drawn coastline whose own line self-intersects has a real ordering bug somewhere, findable without eyeballing a render or hand-picking a distance threshold. Checked every coastline/river/island/mountain line in the catalogue with shapely's line-segment intersection test; all four hits below turned out to be the *introductory boundary point* pattern above, just not yet found because a false self-crossing edge is a different symptom than a straight-line ""jump"" is. [Malischer Golf - Macedonia's own southern border marker (topostext, by name match: cited alongside ""Pindos mountain midpoint""/""Oite mountain midpoint"" as boundary landmarks with Achaia/Epirus), stated *before* the region's coastal walk actually begins at Neapolis (3.13.09.03) - left in, its first edge (straight to Neapolis, far north) crossed twelve later segments of the walk it correctly closes back near its own start (Malischer Golf and Spercheios-Mündung are both near Thermopylae - see the existing 3.13.09.03/3.13.17.10 _NO_CLOSE_LOOP_TRAILS entry, which this restores)]"
19,3.13.11.05,force_mountain_point,,"The mountain-side counterpart of _ISLAND_POINT_OVERRIDES: a lone mountain reference embedded in an otherwise-coastal section, where force-mountaining the whole section (as above) would wrongly pull its genuine coastal points out of their coastline. Book.map ""3.13"" section ""11"" is Chalkidike's coast (Panormos harbor, ""Athos, ein Berg""/""Athos, Kap und Berg"" ending the Athos peninsula, Nymphaion promontory...) except for one entry - ""Athos (Mitte)"", the *midpoint* of the mountain rather than a coastal point on it - that the ""(Mitte)"" river-course pattern was catching first, with nothing in the bare name ""Athos"" itself to redirect it. Keyed by ref_id. [Athos (Mitte) - the mountain's own midpoint, not a coastal point]"
48,3.14.01.04,coastline_skip,,"Ptolemy sometimes opens a region's description with a boundary point (""this region extends south to the mouth of the Acheloos"") *before* the region's own coastal enumeration begins - then cites that same point again, correctly, at the point in the walk where it's actually reached. Book.map ""3.14"" (Epirus/Akarnania) section ""01"" is a single-row section - ""Acheloos-Mündung"" - sitting alone right before the walk proper starts at ""Akrokeraunische Berge"" in section ""02""; the same ""Acheloos-Mündung"" (same name, same coordinates) shows up again, correctly, as the walk's actual last point in section ""06"". Both citations are real edges under the ordinary catalogue-adjacency rule (the intro one sits within the 5-degree gap cap of Akrokeraunia), so node-collapsing merges the two ""Acheloos"" rows into one graph node with edges to *both* ends of the walk - turning an 11-point open coastal walk into a closed loop and drawing its very first line as a jump from the Akarnanian coast straight to the Albanian border. A general rule (""a single-row section right before the walk starts is always introductory"") risks discarding real single-point coastal sections elsewhere, so this is a small, manually-verified exclusion instead: these ref_ids keep their normal category (they still plot as an ordinary river-mouth marker) but are skipped when building coastline edges, the same way a non-coastal row already is. [Acheloos-Mündung - introductory boundary citation, duplicated (correctly) at 3.14.06.07]"
12,3.14.06.05,force_island_point,,"The same problem at single-point granularity: a lone island reference embedded in an otherwise-mainland section, where force-islanding the *whole* section (as above) would wrongly reclassify real mainland points alongside it. Book.map ""3.14"" section ""06"" is Akarnania's mainland coast (Ambrakia/Arta, Aktion/Actium, Alyzeia, the Acheloos' mouth) except for one entry - ""Kap Leukas"" (Cape Doukato, the southern tip of the island of Lefkada) - sitting in the middle of that mainland run and pulling the Epirus/Akarnania coastline out onto the island and back. Keyed by ref_id. [Kap Leukas - Cape Doukato, island of Lefkada]"
3,4.02.35.02,force_island_point,,"The same problem at single-point granularity: a lone island reference embedded in an otherwise-mainland section, where force-islanding the *whole* section (as above) would wrongly reclassify real mainland points alongside it. Book.map ""3.14"" section ""06"" is Akarnania's mainland coast (Ambrakia/Arta, Aktion/Actium, Alyzeia, the Acheloos' mouth) except for one entry - ""Kap Leukas"" (Cape Doukato, the southern tip of the island of Lefkada) - sitting in the middle of that mainland run and pulling the Epirus/Akarnania coastline out onto the island and back. Keyed by ref_id. [Iulia Caesarea - the island off Mauritania Caesariensis' capital, sharing its name (topostext: ""An island lies off Iulia Caesarea, with the same name, with a city"")]"
4,4.03.45.01,force_island_point,,"The same problem at single-point granularity: a lone island reference embedded in an otherwise-mainland section, where force-islanding the *whole* section (as above) would wrongly reclassify real mainland points alongside it. Book.map ""3.14"" section ""06"" is Akarnania's mainland coast (Ambrakia/Arta, Aktion/Actium, Alyzeia, the Acheloos' mouth) except for one entry - ""Kap Leukas"" (Cape Doukato, the southern tip of the island of Lefkada) - sitting in the middle of that mainland run and pulling the Epirus/Akarnania coastline out onto the island and back. Keyed by ref_id. [Cercina - an island in a section (4.03.45) that also names Gerra/Meninx, two cities *on* a different island (Lotophagitis) with no coordinate of its own - not safe to force-island the whole section]"
7,4.03.47.02,force_island_point,,"The same problem at single-point granularity: a lone island reference embedded in an otherwise-mainland section, where force-islanding the *whole* section (as above) would wrongly reclassify real mainland points alongside it. Book.map ""3.14"" section ""06"" is Akarnania's mainland coast (Ambrakia/Arta, Aktion/Actium, Alyzeia, the Acheloos' mouth) except for one entry - ""Kap Leukas"" (Cape Doukato, the southern tip of the island of Lefkada) - sitting in the middle of that mainland run and pulling the Epirus/Akarnania coastline out onto the island and back. Keyed by ref_id. [Kossura (Pantelleria) - one of three real islands in a section (4.03.47) that also names Melite's own peninsula/shrines, not islands themselves]"
10,4.03.47.03,force_island_point,,"The same problem at single-point granularity: a lone island reference embedded in an otherwise-mainland section, where force-islanding the *whole* section (as above) would wrongly reclassify real mainland points alongside it. Book.map ""3.14"" section ""06"" is Akarnania's mainland coast (Ambrakia/Arta, Aktion/Actium, Alyzeia, the Acheloos' mouth) except for one entry - ""Kap Leukas"" (Cape Doukato, the southern tip of the island of Lefkada) - sitting in the middle of that mainland run and pulling the Epirus/Akarnania coastline out onto the island and back. Keyed by ref_id. [Gaulos (Gozo)]"
2,4.03.47.05,force_island_point,,"The same problem at single-point granularity: a lone island reference embedded in an otherwise-mainland section, where force-islanding the *whole* section (as above) would wrongly reclassify real mainland points alongside it. Book.map ""3.14"" section ""06"" is Akarnania's mainland coast (Ambrakia/Arta, Aktion/Actium, Alyzeia, the Acheloos' mouth) except for one entry - ""Kap Leukas"" (Cape Doukato, the southern tip of the island of Lefkada) - sitting in the middle of that mainland run and pulling the Epirus/Akarnania coastline out onto the island and back. Keyed by ref_id. [Melite (Malta)]"
55,4.05.12.06,coastline_skip,,"NOTE: ""5.16.01.05"" (Grenzpunkt Ägypten/Judäa) used to be skipped here too, for the same ""bit-identical duplicate, wrong-direction edge"" reason - but the user spotted the resulting gap (Gaza to Egypt, the top of Sinai) and asked for the real coast, not a schematic bridge over it. Restored via _COASTLINE_EXPLICIT_ORDER_OVERRIDES instead, which fixes the wrong-direction edge without dropping the point - see that set's own comment. [Anthedon (Egypt's own Kasiotis-list citation) - a bit-identical coordinate duplicate of Judaea's own ""Anthedon"" (5.16.02.11, the real end of that book's coastal walk - see _COASTAL_APPENDIX_SECTIONS' ""4.05"",""12"" entry above). Skipped so Egypt's own walk runs straight through from Rhinokorura to the Grenzpunkt/Zipfel des Arabischen Golfes continuation, rather than stopping one point early at a duplicate of a place already correctly drawn from the other side.]"
28,4.05.13.03,force_noncoastal_point,,"Four more found by the user auditing specific ref_ids directly, all the same ""boundary/limit statement, not a coastal walk point"" shape: [Grenzpunkt (Ägypten, Arabia Petraea, Judäa) - Egypt's own citation of the same boundary point as 5.16.01.05 above; same fix, same reasoning.]"
1,4.05.76.02,force_island_point,,"The same problem at single-point granularity: a lone island reference embedded in an otherwise-mainland section, where force-islanding the *whole* section (as above) would wrongly reclassify real mainland points alongside it. Book.map ""3.14"" section ""06"" is Akarnania's mainland coast (Ambrakia/Arta, Aktion/Actium, Alyzeia, the Acheloos' mouth) except for one entry - ""Kap Leukas"" (Cape Doukato, the southern tip of the island of Lefkada) - sitting in the middle of that mainland run and pulling the Epirus/Akarnania coastline out onto the island and back. Keyed by ref_id. [Pharos - the island of the Alexandria lighthouse]"
